Y;M;Vanguard500;US_Stocks;US_Mid_Cap;US_M_VALUE;US_M_GROWTH;US_Small_Cap;US_Small_V;US_Small_G;US_Large_Cap;US_Large_V;US_Large_G;US_Micro_Cap;Global_exUS_Stocks;Global_Bonds;LT_Treasury;IMT_Treasury;ST_Treasury;ST_Treasury_Old;ST_Treasury_3to6M;ST_Treasury_6to9M;LT_Corp_Bonds;TOT_US_Bonds;HY_Corp_Bonds;REIT;REIT2;MSCI_EUR;MSCI_WORLD;SP_EUROPE_REIT;SP_MSCI_Comm_TR
1994;1;0,0338;0,0308;0,0299;0,0304;0,0295;0,0364;0,035;0,0184;0,0338;0,0469;0,0206;0,0618;0,0992;0,0026;0,0223;0,013772623;0,002854;0,0067;0,00328307;0,003572011;0,0207;0,0139;0,022;0,0221;0,0299;0,049286519;0,064347966;0,079674674;0,081403107
1994;2;-0,0271;-0,0224;-0,0146;-0,0255;-0,0046;-0,0037;-0,006;-0,0012;-0,0271;-0,0358;-0,0173;-0,0023;0,0042;-0,0236;-0,0399;-0,021784708;0,001825147;-0,009;0,001292801;0,000260978;-0,0288;-0,0178;-0,0092;-0,0052;0,0344;-0,03700313;-0,014470776;-0,030201576;-0,021727633
1994;3;-0,0439;-0,0444;-0,0428;-0,0324;-0,0522;-0,0507;-0,0457;-0,0592;-0,0439;-0,0413;-0,0471;-0,0446;-0,0302;-0,0137;-0,0382;-0,022644917;0,003053721;-0,0086;0,00288451;0,002023837;-0,0317;-0,023;-0,0443;-0,0548;-0,0403;-0,03000546;-0,044685325;-0,048403337;-0,01193855
1994;4;0,0129;0,0089;0,0103;0,0206;0,0008;0,0072;0,0094;-0,0057;0,0129;0,0206;0,0052;0,006;0,0328;0,0003;-0,0129;-0,008883267;0,002800332;-0,0048;0,002131913;0,001149959;-0,0116;-0,0083;-0,0162;-0,0028;0,0162;0,039631809;0,029282836;-0,091376313;0,026217399
1994;5;0,0163;0,0097;-0,0046;-0,0069;-0,0025;-0,0084;-0,0039;-0,0239;0,016;0,0158;0,0154;-0,0012;-0,0009;-0,0053;-0,0047;0,001074181;0,003279333;0,0013;0,003292238;0,002881478;-0,0059;0;0,001;-0,0055;0,0203;-0,044227946;0,000983316;-0,017384795;0,014884258
1994;6;-0,0247;-0,0273;-0,0322;-0,0207;-0,0427;-0,0326;-0,0157;-0,0465;-0,0245;-0,026;-0,0213;-0,0262;0,0197;0,0073;-0,0081;-0,0024578;0,004030845;0,0022;0,004113459;0,004142293;-0,0058;-0,0018;0,0077;-0,025;-0,0217;-0,012357547;-0,004389017;-0,035215441;0,0246038
1994;7;0,0328;0,0308;0,0353;0,0456;0,0259;0,0175;0,0206;0,02;0,0328;0,0339;0,0322;0,0184;0,0048;0,0096;0,0294;0,016483832;0,004023224;0,0095;0,004363624;0,004868606;0,0256;0,0184;0,009;0,0029;-0,0025;0,050531139;0,017392887;-0,039396332;0,017219279
1994;8;0,0408;0,0439;0,0512;0,0322;0,0686;0,055;0,0406;0,0773;0,0408;0,0276;0,0533;0,0337;0,0174;-0,0035;-0,0067;0,00319083;0,003852655;0,0025;0,004157233;0,004249741;-0,0034;0,0014;0,009;0,0171;0,0055;0,029908292;0,02850962;-0,0165327;-0,067417146
1994;9;-0,0245;-0,0185;-0,0197;-0,0272;-0,013;-0,0031;-0,0072;0,0035;-0,0245;-0,0352;-0,0143;0,0105;-0,0285;0,0045;-0,03;-0,014274506;0,004009658;-0,0036;0,003492582;0,002524274;-0,0238;-0,0144;-0,0005;-0,0326;-0,0203;-0,041461764;-0,027856053;-0,048295718;-0,009413566
1994;10;0,0225;0,0155;0,0039;-0,0067;0,0136;-0,0038;-0,0087;0,0107;0,0225;0,021;0,0233;0,0115;0,0277;0,0142;-0,0036;-0,001800118;0,004049112;0,0027;0,004305393;0,004090744;-0,0047;-0,0007;0,001;-0,0415;-0,0371;0,041615564;0,026787854;-0,018249244;0,004501432
1994;11;-0,0365;-0,0365;-0,0419;-0,0452;-0,0389;-0,0392;-0,0379;-0,0401;-0,0365;-0,0403;-0,0333;-0,0326;-0,054;-0,0092;0,0062;-0,004816467;0,003595516;-0,0055;0,003254724;0,002425746;0,0028;-0,0018;-0,0102;-0,0339;-0,0325;-0,040107503;-0,044966307;-0,021769384;-0,032717726
1994;12;0,0146;0,0123;0,013;0,0098;0,016;0,0257;0,0228;0,0173;0,0146;0,0125;0,0167;0,0002;0,0093;0,0003;0,0162;0,005443808;0,005788194;0,002;0,004894055;0,003846824;0,0141;0,008;0,0151;0,0788;0,0617;0,003792273;0,008007483;-0,013108424;0,03385714
1995;1;0,0258;0,022;0,0173;0,0257;0,0084;-0,01;0,0009;-0,0125;0,0258;0,027;0,0253;0,0283;-0,0394;0,0172;0,0262;0,018306156;0,00536065;0,0156;0,006156954;0,007709474;0,0226;0,019;0,0136;-0,0282;-0,0148;-0,009739028;-0,016694418;0,011738056;-0,024849837
1995;2;0,0388;0,0404;0,0449;0,0451;0,0447;0,0364;0,0441;0,0424;0,0388;0,0385;0,038;0,0252;-0,0516;0,0286;0,0273;0,024840537;0,004843055;0,016;0,005515754;0,006698659;0,0271;0,0217;0,0292;0,0166;0,0325;0,020666358;0,012841485;-0,045796865;0,008076607
1995;3;0,0295;0,0265;0,0256;0,0208;0,0306;0,0215;0,0171;0,0269;0,0295;0,028;0,0311;0,0145;0,0646;0,036;0,0072;0,005768353;0,005487256;0,0054;0,005547798;0,005463314;0,0123;0,0067;0,0091;-0,002;-0,006;0,044304224;0,046422995;-0,031356655;0,013620227
1995;4;0,0294;0,0251;0,0191;0,0265;0,0113;0,0223;0,0281;0,0076;0,0294;0,033;0,0267;0,0352;0,0351;0,0161;0,0165;0,014549728;0,004745924;0,0102;0,004952021;0,005757373;0,0156;0,0131;0,0237;-0,0045;0,0023;0,029973175;0,033146986;0,016406078;0,030622118
1995;5;0,0395;0,0348;0,0258;0,0322;0,0189;0,0187;0,0221;0,0136;0,0395;0,0439;0,0356;0,0298;-0,0188;0,0336;0,0752;0,041498338;0,005242483;0,0202;0,005943368;0,007389264;0,0605;0,0395;0,025;0,0401;0,045;0,018533951;0,00689445;0,069981584;-0,008445142
1995;6;0,0231;0,0298;0,0424;0,0257;0,0602;0,0495;0,0366;0,0618;0,0231;0,0077;0,0377;0,0568;-0,018;0,003;0,0113;0,008551911;0,005505375;0,006;0,005294632;0,0053733;0,0079;0,0066;0,0048;0,0208;0,0177;0,007480961;-0,001965302;-0,034929635;-0,017843172
1995;7;0,033;0,0402;0,0555;0,0383;0,0737;0,0582;0,0481;0,0739;0,033;0,0351;0,0324;0,0645;0,0572;0,0069;-0,014;-0,003942843;0,004831404;0,0023;0,005095748;0,004781372;-0,0098;-0,0025;0,0154;0,0116;0,0156;0,050161845;0,048362734;-0,016995384;0,026114978
1995;8;0,0025;0,0107;0,0149;0,0214;0,008;0,0215;0,0285;0,0126;0,0027;0,0081;-0,0031;0,0358;-0,0335;-0,0144;0,0205;0,010865412;0,005114222;0,0062;0,005059557;0,004918245;0,0207;0,0118;0,0049;0,0067;0,0149;-0,040457142;-0,023842539;-0,032657417;0,021198327
1995;9;0,0423;0,0361;0,0254;0,0211;0,0301;0,0172;0,0158;0,0217;0,0421;0,0352;0,0488;0,0195;0,0158;0,0147;0,0181;0,008075529;0,004598522;0,006;0,004365819;0,004299056;0,0158;0,0095;0,0124;0,0171;0,0183;0,028283076;0,027505376;-0,014011474;0,004224221
1995;10;-0,0036;-0,0117;-0,0225;-0,017;-0,0283;-0,0434;-0,04;-0,0473;-0,0036;-0,0156;0,0083;-0,0487;-0,0259;0,0227;0,0297;0,01447986;0,004588107;0,0091;0,005087681;0,00531419;0,0203;0,0147;0,014;-0,0318;-0,0184;-0,006602525;-0,017324598;-0,001007049;0,010064516
1995;11;0,0438;0,0417;0,045;0,0446;0,0454;0,0393;0,0438;0,0474;0,0438;0,0519;0,0359;0,0192;0,0255;0,0261;0,0231;0,017481932;0,00434572;0,0099;0,004639067;0,004922865;0,022;0,0144;0,0085;0,0119;0,01;0,005246273;0,033118663;-0,00672043;0,026997104
1995;12;0,0193;0,0154;-0,0006;0,0087;-0,0104;0,0281;0,0258;0,0237;0,0193;0,0283;0,0116;0,0239;0,0368;0,0186;0,027;0,012122762;0,005523275;0,008;0,005331011;0,00546005;0,0229;0,0144;0,0164;0,0604;0,0549;0,029805397;0,02767075;0,005976545;0,102272162
1996;1;0,0339;0,0266;0,0197;0,0188;0,0208;0,0016;0,0026;-0,0102;0,0339;0,0291;0,0379;0,0028;0,0049;0,0023;-0,0005;0,00912989;0,004732066;0,0088;0,005038543;0,005956362;0,0003;0,0063;0,0124;0,0096;0,0192;0,004761074;0,016575421;0,061876471;-0,001617478
1996;2;0,0092;0,0162;0,0237;0,0083;0,0398;0,0343;0,0241;0,0481;0,0092;0,0092;0,009;0,0369;0,0034;-0,0157;-0,0493;-0,017837937;0,004009007;-0,007;0,003856206;0,002915966;-0,0383;-0,0176;0,0005;0,0123;0,0077;0,016362255;0,004562925;-0,006756043;0,040088013
1996;3;0,0098;0,0114;0,0125;0,0144;0,0104;0,0187;0,0253;0,0227;0,0098;0,0232;-0,0042;0,0228;0,0198;0,0011;-0,0198;-0,010620664;0,004223348;-0,002;0,003441442;0,003251009;-0,0092;-0,0077;-0,0092;0,0009;-0,0014;0,010106836;0,015105547;-0,011053247;0,065004927
